正式法令名,法令番号,略称法令名１,略称法令名２,略称法令名３,略称法令名４
日本国有鉄道改革法施行令,昭和六十一年政令第三百七十七号,国鉄改革法施行令,,,
厚生労働省関係化学物質の審査及び製造等の規制に関する法律施行規則,昭和六十一年厚生省令第五十四号,厚生労働省化審法施行規則,,,
船員に関する雇用の分野における男女の均等な機会及び待遇の確保等に関する法律施行規則,昭和六十一年運輸省令第一号,船員男女雇用機会均等法施行規則,,,
日本国有鉄道改革法施行規則,昭和六十一年運輸省令第四十一号,国鉄改革法施行規則,,,
雇用の分野における男女の均等な機会及び待遇の確保等に関する法律施行規則,昭和六十一年労働省令第二号,男女雇用機会均等法施行規則,,,
女性労働基準規則,昭和六十一年労働省令第三号,女性則,,,
労働者派遣事業の適正な運営の確保及び派遣労働者の保護等に関する法律施行規則,昭和六十一年労働省令第二十号,労働者派遣法施行規則,人材派遣法施行規則,,
多数国間投資保証機関への加盟に伴う措置に関する法律,昭和六十二年法律第三十六号,ＭＩＧＡ法,,,
通貨の単位及び貨幣の発行等に関する法律,昭和六十二年法律第四十二号,通貨法,貨幣法,,
昭和六十二年度の財政運営に必要な財源の確保を図るための特別措置に関する法律,昭和六十二年法律第五十一号,財源確保法,,,
民間都市開発の推進に関する特別措置法,昭和六十二年法律第六十二号,民都法,,,
総合保養地域整備法,昭和六十二年法律第七十一号,リゾート法,,,
外国の地方公共団体の機関等に派遣される一般職の地方公務員の処遇等に関する法律,昭和六十二年法律第七十八号,地方公務員派遣法,,,
日本電信電話株式会社の株式の売払収入の活用による社会資本の整備の促進に関する特別措置法,昭和六十二年法律第八十六号,社会資本整備特別措置法,,,
国際緊急援助隊の派遣に関する法律,昭和六十二年法律第九十三号,国際緊急援助隊法,ＪＤＲ法,,
関西文化学術研究都市建設促進法,昭和六十二年法律第七十二号,関西学研法,,,
健康保険の被保険者に係る健康保険法の適用及び厚生年金保険の適用事業所に係る厚生年金保険法の適用に関する政令,昭和六十二年政令第二十七号,健康保険の被保険者に係る健保法の適用及び厚生年金保険の適用事業所に係る厚生年金法の適用に関する政令,,,
外国弁護士による法律事務の取扱い等に関する法律関係手数料令,昭和六十二年政令第三十号,外弁法関係手数料令,外国弁護士法関係手数料令,,
旅客鉄道株式会社及び日本貨物鉄道株式会社に関する法律施行令,昭和六十二年政令第五十号,ＪＲ会社法施行令,,,
日本国有鉄道改革法等施行法の施行に伴う経過措置等に関する政令,昭和六十二年政令第五十三号,国鉄改革法等施行法の施行に伴う経過措置等に関する政令,,,
総合保養地域整備法施行令,昭和六十二年政令第二百七号,リゾート法施行令,,,
民間都市開発の推進に関する特別措置法施行令,昭和六十二年政令第二百七十五号,民都法施行令,,,
日本電信電話株式会社の株式の売払収入の活用による社会資本の整備の促進に関する特別措置法施行令,昭和六十二年政令第二百九十一号,社会資本整備特別措置法施行令,,,
租税条約等の実施に伴う所得税法、法人税法及び地方税法の特例等に関する法律施行令,昭和六十二年政令第三百三十五号,租税条約等実施特例法施行令,,,
関西文化学術研究都市建設促進法第十一条の地方公共団体等を定める省令,昭和六十二年自治省令第二十四号,関西学研法第十一条の地方公共団体等を定める省令,,,
総合保養地域整備法第九条の地方公共団体等を定める省令,昭和六十二年自治省令第三十三号,リゾート法地方公共団体省令,,,
外国弁護士による法律事務の取扱い等に関する法律施行規則,昭和六十二年法務省令第七号,外弁法施行規則,外国弁護士法施行規則,,
旅客鉄道株式会社及び日本貨物鉄道株式会社に関する法律施行規則,昭和六十二年運輸省令第二十号,ＪＲ会社法施行規則,,,
日本国有鉄道改革法等施行法の施行に伴う経過措置等に関する省令,昭和六十二年運輸省令第二十八号,国鉄改革法等施行法の施行に伴う経過措置等に関する省令,,,
東京湾横断道路の建設に関する特別措置法施行規則,昭和六十二年建設省令第十二号,湾横特措法施行規則,,,
民間都市開発の推進に関する特別措置法施行規則,昭和六十二年建設省令第十九号,民都法施行規則,,,
大都市地域における優良宅地開発の促進に関する緊急措置法,昭和六十三年法律第四十七号,優良法,,,
昭和六十三年度の財政運営に必要な財源の確保を図るための特別措置に関する法律,昭和六十三年法律第五十二号,財源確保法,,,
特定物質等の規制等によるオゾン層の保護に関する法律,昭和六十三年法律第五十三号,オゾン層保護法,,,
多極分散型国土形成促進法,昭和六十三年法律第八十三号,四全総法,,,
行政機関の休日に関する法律,昭和六十三年法律第九十一号,行政機関休日法,,,
裁判所の休日に関する法律,昭和六十三年法律第九十三号,裁判所休日法,,,
国会議事堂等周辺地域及び外国公館等周辺地域の静穏の保持に関する法律,昭和六十三年法律第九十号,静穏保持法,,,
遊漁船業の適正化に関する法律,昭和六十三年法律第九十九号,遊漁船業法,,,
国会に置かれる機関の休日に関する法律,昭和六十三年法律第百五号,国会休日法,,,
通貨の単位及び貨幣の発行等に関する法律施行令,昭和六十三年政令第五十号,通貨法施行令,貨幣法施行令,,
多極分散型国土形成促進法施行令,昭和六十三年政令第百九十四号,四全総法施行令,,,
大都市地域における優良宅地開発の促進に関する緊急措置法施行令,昭和六十三年政令第二百四十七号,優良法施行令,,,
地方財政法第三十二条に規定する事業を定める省令,昭和六十三年自治省令第四号,地財法第三十二条に規定する事業を定める省令,,,
通貨の単位及び貨幣の発行等に関する法律施行規則,昭和六十三年大蔵省令第七号,通貨法施行規則,貨幣法施行規則,,
特定物質等の規制等によるオゾン層の保護に関する法律施行規則,昭和六十三年通商産業省令第八十号,オゾン層保護法施行規則,,,
大都市地域における優良宅地開発の促進に関する緊急措置法施行規則,昭和六十三年建設省令第十七号,優良法施行規則,,,
平成元年度の財政運営に必要な財源の確保を図るための特別措置に関する法律,平成元年法律第四十二号,財源確保法,,,
特定農地貸付けに関する農地法等の特例に関する法律,平成元年法律第五十八号,特定農地貸付法,,,
大都市地域における宅地開発及び鉄道整備の一体的推進に関する特別措置法,平成元年法律第六十一号,宅鉄法,,,
地域における医療及び介護の総合的な確保の促進に関する法律,平成元年法律第六十四号,医療介護総合確保法,,,
特定農産加工業経営改善臨時措置法,平成元年法律第六十五号,特定農産加工法,,,
民事保全法,平成元年法律第九十一号,民保法,,,
地域における医療及び介護の総合的な確保の促進に関する法律施行令,平成元年政令第二百五号,医療介護総合確保法施行令,,,
特定農産加工業経営改善臨時措置法施行令,平成元年政令第二百八号,特定農産加工法施行令,,,
特定農地貸付けに関する農地法等の特例に関する法律施行令,平成元年政令第二百五十八号,特定農地貸付法施行令,,,
多極分散型国土形成促進法第十四条の地方公共団体等を定める省令,平成元年自治省令第十九号,四全総法第十四条の地方公共団体等を定める省令,,,
地域における医療及び介護の総合的な確保の促進に関する法律施行規則,平成元年厚生省令第三十四号,医療介護総合確保法施行規則,,,
特定農産加工業経営改善臨時措置法施行規則,平成元年農林水産省令第二十九号,特定農産加工法施行規則,,,
特定農地貸付けに関する農地法等の特例に関する法律施行規則,平成元年農林水産省令第三十六号,特定農地貸付法施行規則,,,
大都市地域における宅地開発及び鉄道整備の一体的推進に関する特別措置法施行規則,平成元年建設省令第十五号,宅鉄法施行規則,,,
特定通信・放送開発事業実施円滑化法,平成二年法律第三十五号,通信・放送開発法,,,
スパイクタイヤ粉じんの発生の防止に関する法律,平成二年法律第五十五号,スパイクタイヤ粉じん発生防止法,,,
食鳥処理の事業の規制及び食鳥検査に関する法律,平成二年法律第七十号,食鳥検査法,食鳥処理法,,
生涯学習の振興のための施策の推進体制等の整備に関する法律,平成二年法律第七十一号,生涯学習振興法,,,
国会議員の秘書の給与等に関する法律,平成二年法律第四十九号,国会議員秘書給与法,,,
平成二年度以後における私立学校教職員共済組合法の年金の額の改定に関する政令,平成二年政令第五十九号,平成二年度以後における私学共済法の年金の額の改定に関する政令,,,
生涯学習の振興のための施策の推進体制等の整備に関する法律施行令,平成二年政令第百九十四号,生涯学習振興法施行令,,,
特定通信・放送開発事業実施円滑化法施行令,平成二年政令第二百六十三号,通信・放送開発法施行令,,,
民事保全法施行令,平成二年政令第二百八十四号,民保法施行令,,,
特別職の職員の給与に関する法律施行令,平成二年政令第三百六十六号,特別職職員給与法施行令,特別職給与法施行令,,
スパイクタイヤ粉じんの発生の防止に関する法律施行令,平成二年政令第三百七十一号,スパイクタイヤ粉じん発生防止法施行令,,,
出入国管理及び難民認定法第七条第一項第二号の基準を定める省令,平成二年法務省令第十六号,入管法基準省令,,,
発行者以外の者による株券等の公開買付けの開示に関する内閣府令,平成二年大蔵省令第三十八号,他社株買付府令,,,
あん摩マツサージ指圧師、はり師、きゆう師等に関する法律施行規則,平成二年厚生省令第十九号,あはき法施行規則,,,
柔道整復師法施行規則,平成二年厚生省令第二十号,柔整法施行規則,,,
食鳥処理の事業の規制及び食鳥検査に関する法律施行規則,平成二年厚生省令第四十号,食鳥検査法施行規則,食鳥処理法施行規則,,
資源の有効な利用の促進に関する法律,平成三年法律第四十八号,リサイクル法,資源有効利用促進法,,
中小企業における労働力の確保及び良好な雇用の機会の創出のための雇用管理の改善の促進に関する法律,平成三年法律第五十七号,中小企業労働力確保法,,,
商品投資に係る事業の規制に関する法律,平成三年法律第六十六号,商品ファンド法,,,
日本国との平和条約に基づき日本の国籍を離脱した者等の出入国管理に関する特例法,平成三年法律第七十一号,出入国管理特例法,入管特例法,,
育児休業、介護休業等育児又は家族介護を行う労働者の福祉に関する法律,平成三年法律第七十六号,育児・介護休業法,育児介護休業法,,
暴力団員による不当な行為の防止等に関する法律,平成三年法律第七十七号,暴力団対策法,暴対法,,
国際的な協力の下に規制薬物に係る不正行為を助長する行為等の防止を図るための麻薬及び向精神薬取締法等の特例等に関する法律,平成三年法律第九十四号,麻薬特例法,,,
国家公務員の育児休業等に関する法律,平成三年法律第百九号,国家公務員育児休業法,,,
地方公務員の育児休業等に関する法律,平成三年法律第百十号,地方公務員育児休業法,,,
裁判官の育児休業に関する法律,平成三年法律第百十一号,裁判官育児休業法,,,
国会職員の育児休業等に関する法律,平成三年法律第百八号,国会職員育児休業法,,,
食鳥処理の事業の規制及び食鳥検査に関する法律施行令,平成三年政令第五十二号,食鳥検査法施行令,食鳥処理法施行令,,
国民健康保険法の一部を改正する法律の一部の施行に伴う経過措置に関する政令,平成三年政令第二百三十一号,国保法の一部を改正する法律の一部の施行に伴う経過措置に関する政令,国健保法の一部を改正する法律の一部の施行に伴う経過措置に関する政令,,
中小企業における労働力の確保及び良好な雇用の機会の創出のための雇用管理の改善の促進に関する法律施行令,平成三年政令第二百四十四号,中小企業労働力確保法施行令,,,
資源の有効な利用の促進に関する法律施行令,平成三年政令第三百二十七号,リサイクル法施行令,資源有効利用促進法施行令,,
暴力団員による不当な行為の防止等に関する法律施行令,平成三年政令第三百三十五号,暴力団対策法施行令,暴対法施行令,,
スパイクタイヤ粉じんの発生の防止に関する法律施行規則,平成三年総理府令第六号,スパイクタイヤ粉じん発生防止法施行規則,,,
船員に関する育児休業、介護休業等育児又は家族介護を行う労働者の福祉に関する法律施行規則,平成三年運輸省令第三十六号,船員育児・介護休業法施行規則,,,
中小企業における労働力の確保及び良好な雇用の機会の創出のための雇用管理の改善の促進に関する法律に基づく委託募集に関する省令,平成三年労働省令第十七号,中小企業労働力確保法委託募集省令,,,
育児休業、介護休業等育児又は家族介護を行う労働者の福祉に関する法律施行規則,平成三年労働省令第二十五号,育児介護休業法施行規則,育児・介護休業法施行規則,,
中小企業における労働力の確保及び良好な雇用の機会の創出のための雇用管理の改善の促進に関する法律施行規則,平成三年通商産業省・労働省令第三号,中小企業労働力確保法施行規則,,,
自動車の保管場所の確保等に関する法律施行規則,平成三年国家公安委員会規則第一号,車庫法施行規則,ガレージ法施行規則,,
暴力団員による不当な行為の防止等に関する法律施行規則,平成三年国家公安委員会規則第四号,暴力団対策法施行規則,暴対法施行規則,,
暴力団員による不当な行為の防止等に関する法律の規定に基づく意見聴取の実施に関する規則,平成三年国家公安委員会規則第五号,暴力団対策法意見聴取規則,暴対法意見聴取規則,,
産業廃棄物の処理に係る特定施設の整備の促進に関する法律,平成四年法律第六十二号,産業廃棄物処理特定施設整備法,産廃法,産業廃棄物法,
介護労働者の雇用管理の改善等に関する法律,平成四年法律第六十三号,介護労働者法,,,
自動車から排出される窒素酸化物及び粒子状物質の特定地域における総量の削減等に関する特別措置法,平成四年法律第七十号,自動車ＮＯｘ・ＰＭ法,排ガス抑制法,,
絶滅のおそれのある野生動植物の種の保存に関する法律,平成四年法律第七十五号,種の保存法,,,
地方拠点都市地域の整備及び産業業務施設の再配置の促進に関する法律,平成四年法律第七十六号,地方拠点都市法,地方拠点法,,
国際連合平和維持活動等に対する協力に関する法律,平成四年法律第七十九号,ＰＫＯ協力法,国連平和協力法,ＰＫＯ法,
看護師等の人材確保の促進に関する法律,平成四年法律第八十六号,看護師等人材確保促進法,,,
地域伝統芸能等を活用した行事の実施による観光及び特定地域商工業の振興に関する法律,平成四年法律第八十八号,お祭り法,地域伝統芸能活用法,,
労働時間等の設定の改善に関する特別措置法,平成四年法律第九十号,労働時間等設定改善法,時短促進法,,
特定有害廃棄物等の輸出入等の規制に関する法律,平成四年法律第百八号,バーゼル法,,,
ゴルフ場等に係る会員契約の適正化に関する法律,平成四年法律第五十三号,ゴルフ会員契約適正化法,ゴルフ場会員適正化法,,
政治倫理の確立のための国会議員の資産等の公開等に関する法律,平成四年法律第百号,資産公開法,,,
国会等の移転に関する法律,平成四年法律第百九号,国会移転法,,,
商品投資に係る事業の規制に関する法律施行令,平成四年政令第四十五号,商品ファンド法施行令,,,
防衛省の職員の育児休業等に関する政令,平成四年政令第七十二号,防衛庁育児休業政令,防衛省育児休業政令,,
介護労働者の雇用管理の改善等に関する法律施行令,平成四年政令第二百三十三号,介護労働者法施行令,,,
地方拠点都市地域の整備及び産業業務施設の再配置の促進に関する法律施行令,平成四年政令第二百六十六号,地方拠点都市法施行令,地方拠点法施行令,,
国際連合平和維持活動等に対する協力に関する法律施行令,平成四年政令第二百六十八号,国連平和協力法施行令,ＰＫＯ法施行令,ＰＫＯ協力法施行令,
あん摩マツサージ指圧師、はり師、きゆう師等に関する法律施行令,平成四年政令第三百一号,あはき法施行令,,,
柔道整復師法施行令,平成四年政令第三百二号,柔整法施行令,,,
産業廃棄物の処理に係る特定施設の整備の促進に関する法律施行令,平成四年政令第三百四号,産廃法施行令,産業廃棄物処理特定施設整備法施行令,産業廃棄物法施行令,
地域伝統芸能等を活用した行事の実施による観光及び特定地域商工業の振興に関する法律第六条第三項の率を定める政令,平成四年政令第三百七号,お祭り法第六条第三項の率を定める政令,,,
看護師等の人材確保の促進に関する法律施行令,平成四年政令第三百四十五号,看護師等人材確保促進法施行令,,,
自動車から排出される窒素酸化物及び粒子状物質の特定地域における総量の削減等に関する特別措置法施行令,平成四年政令第三百六十五号,排ガス抑制法施行令,自動車ＮＯｘ・ＰＭ法施行令,,
国際連合平和維持活動等に対する協力に関する法律施行規則,平成四年総理府令第四十二号,国連平和協力法施行規則,ＰＫＯ法施行規則,ＰＫＯ協力法施行規則,
自動車から排出される窒素酸化物及び粒子状物質の特定地域における総量の削減等に関する特別措置法施行規則,平成四年総理府令第五十三号,自動車ＮＯｘ・ＰＭ法施行規則,排ガス抑制法施行規則,,
地方拠点都市地域の整備及び産業業務施設の再配置の促進に関する法律第十六条第一項の事業者及び公共施設に準ずる施設を定める省令,平成四年自治省令第三十号,地方拠点都市法事業者及び公共施設省令,地方拠点法事業者及び公共施設省令,,
産業廃棄物の処理に係る特定施設の整備の促進に関する法律施行規則,平成四年厚生省令第五十四号,産廃法施行規則,産業廃棄物法施行規則,産業廃棄物処理特定施設整備法施行規則,
看護師等の人材確保の促進に関する法律施行規則,平成四年厚生省令第六十一号,看護師等人材確保促進法施行規則,,,
地域伝統芸能等を活用した行事の実施による観光及び特定地域商工業の振興に関する法律第六条第一項に規定する事業を定める省令,平成四年通商産業省令第五十七号,お祭り法第六条第一項に規定する事業を定める省令,,,
介護労働者の雇用管理の改善等に関する法律施行規則,平成四年労働省令第十八号,介護労働者法施行規則,,,
労働時間等の設定の改善に関する特別措置法施行規則,平成四年労働省令第二十六号,時短促進法施行規則,労働時間等設定改善法施行規則,,
勤労者財産形成促進法施行令附則第五項の事項及び基準を定める省令,平成四年労働省・建設省令第一号,財形法施行令附則第五項の事項及び基準を定める省令,,,
福祉用具の研究開発及び普及の促進に関する法律,平成五年法律第三十八号,福祉用具法,,,
協同組織金融機関の優先出資に関する法律,平成五年法律第四十四号,優先出資法,,,
不正競争防止法,平成五年法律第四十七号,不競法,,,
商工会及び商工会議所による小規模事業者の支援に関する法律,平成五年法律第五十一号,小規模事業者支援法,,,
特定優良賃貸住宅の供給の促進に関する法律,平成五年法律第五十二号,特優賃法,,,
特定農山村地域における農林業等の活性化のための基盤整備の促進に関する法律,平成五年法律第七十二号,特定農山村法,,,
短時間労働者及び有期雇用労働者の雇用管理の改善等に関する法律,平成五年法律第七十六号,パートタイム法,パート労働法,,
行政手続法,平成五年法律第八十八号,行手法,,,
民間海外援助事業の推進のための物品の譲与に関する法律,平成五年法律第八十号,海外援助推進物品譲与法,,,
絶滅のおそれのある野生動植物の種の保存に関する法律施行令,平成五年政令第十七号,種の保存法施行令,,,
ゴルフ場等に係る会員契約の適正化に関する法律施行令,平成五年政令第十九号,ゴルフ会員契約適正化法施行令,ゴルフ場会員適正化法施行令,,
金融機関の信託業務の兼営等に関する法律施行令,平成五年政令第三十一号,兼営法施行令,,,
商工会及び商工会議所による小規模事業者の支援に関する法律施行令,平成五年政令第二百十八号,小規模事業者支援法施行令,,,
特定優良賃貸住宅の供給の促進に関する法律施行令,平成五年政令第二百五十五号,特優賃法施行令,,,
特定有害廃棄物等の輸出入等の規制に関する法律施行令,平成五年政令第二百八十二号,バーゼル法施行令,,,
福祉用具の研究開発及び普及の促進に関する法律施行令,平成五年政令第三百十三号,福祉用具法施行令,,,
特定農山村地域における農林業等の活性化のための基盤整備の促進に関する法律施行令,平成五年政令第三百十五号,特定農山村法施行令,,,
水産業協同組合法施行令,平成五年政令第三百二十八号,水協法施行令,,,
協同組織金融機関の優先出資に関する法律施行令,平成五年政令第三百九十八号,優先出資法施行令,,,
絶滅のおそれのある野生動植物の種の保存に関する法律施行規則,平成五年総理府令第九号,種の保存法施行規則,,,
地方拠点都市地域の整備及び産業業務施設の再配置の促進に関する法律第十二条及び第三十六条の地方公共団体等を定める省令,平成五年自治省令第二十号,地方拠点法地方公共団体等省令,地方拠点都市法地方公共団体等省令,,
中小企業等協同組合法による信用協同組合及び信用協同組合連合会の事業に関する内閣府令,平成五年大蔵省令第九号,中協法による信用協同組合及び信用協同組合連合会の事業に関する内閣府令,,,
協同組合による金融事業に関する法律施行規則,平成五年大蔵省令第十号,協金法施行規則,,,
金融商品取引法第二条に規定する定義に関する内閣府令,平成五年大蔵省令第十四号,定義府令,証取法定義に関する内閣府令,,
福祉用具の研究開発及び普及の促進に関する法律施行規則,平成五年厚生省令第四十三号,福祉用具法施行規則,,,
ゴルフ場等に係る会員契約の適正化に関する法律施行規則,平成五年通商産業省令第二十三号,ゴルフ場会員適正化法施行規則,ゴルフ会員契約適正化法施行規則,,
商工会及び商工会議所による小規模事業者の支援に関する法律施行規則,平成五年通商産業省令第四十四号,小規模事業者支援法施行規則,,,
絶滅のおそれのある野生動植物の種の保存に関する法律第五十二条の規定による負担金の徴収方法等に関する省令,平成五年総理府・通商産業省令第一号,種の保存法負担金徴収方法等省令,,,
特定有害廃棄物等の輸出入等の規制に関する法律施行規則,平成五年総理府・厚生省・通商産業省令第一号,バーゼル法施行規則,,,
短時間労働者及び有期雇用労働者の雇用管理の改善等に関する法律施行規則,平成五年労働省令第三十四号,パートタイム法施行規則,パート労働法施行規則,,
特定優良賃貸住宅の供給の促進に関する法律施行規則,平成五年建設省令第十六号,特優賃法施行規則,,,
特定農山村地域における農林業等の活性化のための基盤整備の促進に関する法律施行規則,平成五年総理府・農林水産省・通商産業省・建設省・自治省令第一号,特定農山村法施行規則,,,
衆議院議員選挙区画定審議会設置法,平成六年法律第三号,政治改革関連四法,区画審設置法,,
政党助成法,平成六年法律第五号,政治改革関連四法,,,
特定水道利水障害の防止のための水道水源水域の水質の保全に関する特別措置法,平成六年法律第九号,水道水源特別措置法,,,
一般職の職員の勤務時間、休暇等に関する法律,平成六年法律第三十三号,勤務時間法,,,
不動産特定共同事業法,平成六年法律第七十七号,不特法,,,
特定先端大型研究施設の共用の促進に関する法律,平成六年法律第七十八号,共用促進法,,,
国際会議等の誘致の促進及び開催の円滑化等による国際観光の振興に関する法律,平成六年法律第七十九号,コンベンション法,,,
製造物責任法,平成六年法律第八十五号,ＰＬ法,,,
主要食糧の需給及び価格の安定に関する法律,平成六年法律第百十三号,主要食糧需給価格安定法,食糧法,,
原子爆弾被爆者に対する援護に関する法律,平成六年法律第百十七号,原爆三法,原爆被爆者援護法,被爆者援護法,
農山漁村滞在型余暇活動のための基盤整備の促進に関する法律,平成六年法律第四十六号,農山漁村余暇法,,,
政党交付金の交付を受ける政党等に対する法人格の付与に関する法律,平成六年法律第百六号,政党法人格付与法,政党法人化法,,
労働基準法第三十七条第一項の時間外及び休日の割増賃金に係る率の最低限度を定める政令,平成六年政令第五号,労基法時間外及び休日割増賃金率最低限度政令,,,
衆議院議員選挙区画定審議会設置法施行令,平成六年政令第四十号,区画審設置法施行令,,,
特定水道利水障害の防止のための水道水源水域の水質の保全に関する特別措置法施行令,平成六年政令第百四十号,水道水源特別措置法施行令,,,
国の所有に係る日本たばこ産業株式会社の株式の処分に関する政令,平成六年政令第二百四十八号,ＪＴ株処分政令,,,
行政手続法施行令,平成六年政令第二百六十五号,行手法施行令,,,
特定物質等の規制等によるオゾン層の保護に関する法律施行令,平成六年政令第三百八号,オゾン層保護法施行令,,,
天災による被害農林漁業者等に対する資金の融通に関する暫定措置法施行令,平成六年政令第三百六十五号,天災融資法施行令,,,
政党助成法施行令,平成六年政令第三百七十一号,政党助成法施行令,,,
不動産特定共同事業法施行令,平成六年政令第四百十三号,不特法施行令,,,
特定水道利水障害の防止のための水道水源水域の水質の保全に関する特別措置法施行規則,平成六年総理府令第二十五号,水道水源特別措置法施行規則,,,
特定農山村地域における農林業等の活性化のための基盤整備の促進に関する法律第十八条第一項の第七条の認定を受けた者及び農林業等活性化基盤施設を定める省令,平成六年自治省令第十五号,特定農山村法認定者及び活性化基盤施設省令,,,
地方財政法第三十三条第二項第一号及び第二号の額の算定に関する省令,平成六年自治省令第十七号,地財法第三十三条第二項第一号及び第二号の額の算定に関する省令,,,
政党助成法施行規則,平成六年自治省令第四十五号,政党助成法施行規則,,,
政党交付金の交付を受ける政党等に対する法人格の付与に関する法律施行規則,平成六年自治省令第四十六号,政党法人格付与法施行規則,政党法人化法施行規則,,
平成六年度における地方財政法第三十三条の二第二項の額の算定に関する省令,平成六年自治省令第四十八号,平成六年度における地財法第三十三条の二第二項の額の算定に関する省令,,,
政党交付金の交付を受ける政党等に対する法人格の付与に関する法律による登記に関する各種法人等登記規則の特例を定める省令,平成六年法務省令第六十一号,政党法人格付与法による登記に関する各種法人等登記規則の特例を定める省令,政党法人化法による登記に関する各種法人等登記規則の特例を定める省令,,
発行者による上場株券等の公開買付けの開示に関する内閣府令,平成六年大蔵省令第九十五号,自社株買付府令,,,
不正競争防止法第十六条第一項及び第三項並びに第十七条に規定する外国の国旗又は国の紋章その他の記章及び外国の政府若しくは地方公共団体の監督用若しくは証明用の印章又は記号並びに国際機関及び国際機関を表示する標章を定める省令,平成六年通商産業省令第三十六号,不競法第十六条第一項及び第三項並びに第十七条に規定する外国の国旗又は国の紋章その他の記章及び外国の政府若しくは地方公共団体の監督用若しくは証明用の印章又は記号並びに国際機関及び国際機関を表示する標章を定める省令,,,
国際会議等の誘致の促進及び開催の円滑化等による国際観光の振興に関する法律施行規則,平成六年運輸省令第三十八号,コンベンション法施行規則,,,
農業協同組合法、水産業協同組合法及び森林組合法による倉荷証券発行の許可の取消しに係る聴聞手続規則,平成六年農林水産省・運輸省令第三号,農協法、水協法及び森林組合法による倉荷証券発行の許可の取消しに係る聴聞手続規則,,,
社会保険労務士法に係る聴聞等手続規則,平成六年厚生省・労働省令第五号,社労士法に係る聴聞等手続規則,,,
道路交通法の規定に基づく意見の聴取及び弁明の機会の付与に関する規則,平成六年国家公安委員会規則第二十七号,道交法意見聴取及び弁明機会付与規則,,,
電線共同溝の整備等に関する特別措置法,平成七年法律第三十九号,電線共同溝法,,,
被災区分所有建物の再建等に関する特別措置法,平成七年法律第四十三号,被災マンション法,,,
化学兵器の禁止及び特定物質の規制等に関する法律,平成七年法律第六十五号,化学兵器禁止法,,,
サリン等による人身被害の防止に関する法律,平成七年法律第七十八号,サリン防止法,,,
容器包装に係る分別収集及び再商品化の促進等に関する法律,平成七年法律第百十二号,容器包装リサイクル法,,,
建築物の耐震改修の促進に関する法律,平成七年法律第百二十三号,耐震改修促進法,,,
緑の募金による森林整備等の推進に関する法律,平成七年法律第八十八号,緑の募金法,,,
沖縄県における駐留軍用地跡地の有効かつ適切な利用の推進に関する特別措置法,平成七年法律第百二号,跡地利用特措法,,,
原子爆弾被爆者に対する援護に関する法律施行令,平成七年政令第二十六号,原爆被爆者援護法施行令,被爆者援護法施行令,,
被災区分所有建物の再建等に関する特別措置法第二条第一項の災害を定める政令,平成七年政令第八十一号,被災マンション法災害を定める政令,,,
主要食糧の需給及び価格の安定に関する法律施行令,平成七年政令第九十八号,主要食糧需給価格安定法施行令,食糧法施行令,,
国家公務員共済組合法の年金の額の改定に関する政令,平成七年政令第百十六号,国公共済法の年金の額の改定に関する政令,,,
私立学校教職員共済法の年金の額の改定に関する政令,平成七年政令第百四十九号,私学共済法の年金の額の改定に関する政令,,,
化学兵器の禁止及び特定物質の規制等に関する法律施行令,平成七年政令第百九十二号,化学兵器禁止法施行令,,,
沖縄県における駐留軍用地跡地の有効かつ適切な利用の推進に関する特別措置法施行令,平成七年政令第二百五十二号,跡地利用特措法施行令,,,
電線共同溝の整備等に関する特別措置法施行令,平成七年政令第二百五十六号,電線共同溝法施行令,,,
サリン等による人身被害の防止に関する法律の規定による規制等に係る物質を定める政令,平成七年政令第三百十七号,サリン防止法規制等物質政令,,,
細菌兵器（生物兵器）及び毒素兵器の開発、生産及び貯蔵の禁止並びに廃棄に関する条約等の実施に関する法律施行令,平成七年政令第三百九十六号,生物兵器禁止条約実施法施行令,生物兵器禁止法施行令,生物・毒素兵器禁止条約の実施法施行令,
地方自治法第二百五十二条の二十二第一項の中核市の指定に関する政令,平成七年政令第四百八号,地自法第二百五十二条の二十二第一項の中核市の指定に関する政令,,,
容器包装に係る分別収集及び再商品化の促進等に関する法律施行令,平成七年政令第四百十一号,容器包装リサイクル法施行令,,,
建築物の耐震改修の促進に関する法律施行令,平成七年政令第四百二十九号,耐震改修促進法施行令,,,
特定農山村地域における農林業等の活性化のための基盤整備の促進に関する法律第十六条の地方税の不均一課税に伴う措置が適用される場合等を定める省令,平成七年自治省令第十二号,特定農山村法地方税不均一課税適用省令,,,
平成七年度における地方財政法第三十三条の二第二項の額の算定に関する省令,平成七年自治省令第二十三号,平成七年度における地財法第三十三条の二第二項の額の算定に関する省令,,,
阪神・淡路大震災に対処するための私立学校教職員共済組合法の特例に関する省令,平成七年文部省令第二号,阪神・淡路大震災に対処するための私学共済法の特例に関する省令,,,
原子爆弾被爆者に対する援護に関する法律施行規則,平成七年厚生省令第三十三号,原爆被爆者援護法施行規則,原爆三法施行規則,被爆者援護法施行規則,
主要食糧の需給及び価格の安定に関する法律施行規則,平成七年農林水産省令第十七号,主要食糧需給価格安定法施行規則,食糧法施行規則,,
緑の募金による森林整備等の推進に関する法律施行規則,平成七年農林水産省令第三十四号,緑の募金法施行規則,,,
化学兵器の禁止及び特定物質の規制等に関する法律施行規則,平成七年通商産業省令第四十号,化学兵器禁止法施行規則,,,
